	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Missouri"	"29"	55582	5709403	973.52
	"2003"	"2003"	"Montana"	"30"	8467	919630	920.70
	"2003"	"2003"	"Nebraska"	"31"	15465	1738643	889.49
	"2003"	"2003"	"Nevada"	"32"	17858	2248850	794.09
	"2003"	"2003"	"New Hampshire"	"33"	9708	1279840	758.53
	"2003"	"2003"	"New Jersey"	"34"	73689	8601402	856.71
	"2003"	"2003"	"New Mexico"	"35"	14805	1877574	788.52
	"2003"	"2003"	"New York"	"36"	155877	19175939	812.88
	"2003"	"2003"	"North Carolina"	"37"	73459	8422501	872.18
	"2003"	"2003"	"North Dakota"	"38"	6090	638817	953.32
	"2003"	"2003"	"Ohio"	"39"	109110	11434788	954.19
	"2003"	"2003"	"Oklahoma"	"40"	35721	3504892	1019.18
	"2003"	"2003"	"Oregon"	"41"	30912	3547376	871.40
	"2003"	"2003"	"Pennsylvania"	"42"	129769	12374658	1048.67
	"2003"	"2003"	"Rhode Island"	"44"	10039	1071342	937.05
	"2003"	"2003"	"South Carolina"	"45"	38112	4150297	918.30
	"2003"	"2003"	"South Dakota"	"46"	7132	763729	933.84
	"2003"	"2003"	"Tennessee"	"47"	57313	5847812	980.08
	"2003"	"2003"	"Texas"	"48"	154870	22030931	702.97
	"2003"	"2003"	"Utah"	"49"	13412	2360137	568.27
	"2003"	"2003"	"Vermont"	"50"	5120	617858	828.67
	"2003"	"2003"	"Virginia"	"51"	58282	7366977	791.13
	"2003"	"2003"	"Washington"	"53"	45920	6104115	752.28
	"2003"	"2003"	"West Virginia"	"54"	21306	1812295	1175.64
	"2003"	"2003"	"Wisconsin"	"55"	46177	5479203	842.77
	"2003"	"2003"	"Wyoming"	"56"	4172	503453	828.68
	"2004"	"2004"	"Alabama"	"01"	46121	4530729	1017.96
	"2004"	"2004"	"Alaska"	"02"	3051	659286	462.77
	"2004"	"2004"	"Arizona"	"04"	43198	5652404	764.24
	"2004"	"2004"	"Arkansas"	"05"	27528	2749686	1001.13
	"2004"	"2004"	"California"	"06"	232525	35574576	653.63
	"2004"	"2004"	"Colorado"	"08"	28309	4575013	618.77
	"2004"	"2004"	"Connecticut"	"09"	29314	3496094	838.48
	"2004"	"2004"	"Delaware"	"10"	7143	830803	859.77
	"2004"	"2004"	"District of Columbia"	"11"	5454	567754	960.63
	"2004"	"2004"	"Florida"	"12"	169008	17415318	970.46
	"2004"	"2004"	"Georgia"	"13"	65818	8769252	750.55
	"2004"	"2004"	"Hawaii"	"15"	9030	1273569	709.03
	"2004"	"2004"	"Idaho"	"16"	10028	1391802	720.50
	"2004"	"2004"	"Illinois"	"17"	102670	12589773	815.50
	"2004"	"2004"	"Indiana"	"18"	54211	6233007	869.74
	"2004"	"2004"	"Iowa"	"19"	26897	2953635	910.64
	"2004"	"2004"	"Kansas"	"20"	23818	2734373	871.06
	"2004"	"2004"	"Kentucky"	"21"	38646	4146101	932.10
	"2004"	"2004"	"Louisiana"	"22"	42215	4552238	927.35
	"2004"	"2004"	"Maine"	"23"	12443	1313688	947.18
	"2004"	"2004"	"Maryland"	"24"	43232	5546935	779.39
	"2004"	"2004"	"Massachusetts"	"25"	54511	6412281	850.10
	"2004"	"2004"	"Michigan"	"26"	85169	10055315	847.00
	"2004"	"2004"	"Minnesota"	"27"	37034	5087713	727.91
	"2004"	"2004"	"Mississippi"	"28"	27871	2889010	964.72
	"2004"	"2004"	"Missouri"	"29"	53950	5747741	938.63
	"2004"	"2004"	"Montana"	"30"	8094	930009	870.31
	"2004"	"2004"	"Nebraska"	"31"	14657	1749370	837.84
	"2004"	"2004"	"Nevada"	"32"	17929	2346222	764.16
	"2004"	"2004"	"New Hampshire"	"33"	10111	1290121	783.72
	"2004"	"2004"	"New Jersey"	"34"	71371	8634561	826.57
	"2004"	"2004"	"New Mexico"	"35"	14298	1903808	751.02
	"2004"	"2004"	"New York"	"36"	152681	19171567	796.39
	"2004"	"2004"	"North Carolina"	"37"	72384	8553152	846.28
	"2004"	"2004"	"North Dakota"	"38"	5601	644705	868.77
	"2004"	"2004"	"Ohio"	"39"	106288	11452251	928.10
	"2004"	"2004"	"Oklahoma"	"40"	34483	3525233	978.18
	"2004"	"2004"	"Oregon"	"41"	30313	3569463	849.23
	"2004"	"2004"	"Pennsylvania"	"42"	127640	12410722	1028.47
	"2004"	"2004"	"Rhode Island"	"44"	9769	1074579	909.10
	"2004"	"2004"	"South Carolina"	"45"	37276	4210921	885.22
	"2004"	"2004"	"South Dakota"	"46"	6833	770396	886.95
	"2004"	"2004"	"Tennessee"	"47"	55829	5910809	944.52
